id,fractal_id,symbol,direction,entry_price,sl_initial,volume_total,volume_per,status,source_timeframe,created_at
4344,894437,XAUUSDc,BUY,4093.963,3962.365,0.02,0.02,closed,30min,2026-07-03T02:24:29.439421
4343,894429,XAUUSDc,BUY,4174.394,4052.278,0.02,0.02,closed,30min,2026-07-03T02:24:28.480642
4342,894214,XAUUSDc,BUY,4087.84,3915.954,0.02,0.02,active,2H,2026-07-03T02:24:25.531289
4341,894210,XAUUSDc,BUY,4154.767,4090.603,0.02,0.02,closed,2H,2026-07-03T02:24:24.516742
4340,893848,XAUUSDc,BUY,4148.069,3959.988,0.02,0.02,closed,4H,2026-07-03T02:24:23.479713
4339,894671,XAUUSDc,SELL,4180.881,4230.603,0.02,0.02,closed,15min,2026-07-03T02:16:54.897436
4338,894661,XAUUSDc,SELL,4183.212,4187.362,0.02,0.02,closed,15min,2026-07-03T02:16:53.288799
4337,894576,XAUUSDc,BUY,4173.571,4117.473,0.02,0.02,closed,15min,2026-07-03T02:16:51.703343
4336,894328,XAUUSDc,SELL,4180.461,4271.286,0.02,0.02,closed,2H,2026-07-03T02:16:45.719161
4335,894128,XAUUSDc,SELL,4183.974,4246.252,0.02,0.02,closed,4H,2026-07-03T02:16:41.508794
4334,894079,XAUUSDc,SELL,4196.782,4230.859,0.02,0.02,closed,4H,2026-07-03T02:16:39.980565
4333,893079,XAUUSDc,SELL,4189.695,4207.358,0.02,0.02,closed,15min,2026-07-03T02:16:35.856966
4332,893411,XAUUSDc,BUY,4159.273,4131.203,0.1,0.1,closed,5min,2026-07-03T01:26:08.966943
4331,893403,XAUUSDc,BUY,4166.625,4115.848,0.1,0.1,closed,5min,2026-07-03T01:26:07.565704
4330,893402,XAUUSDc,BUY,4169.1320000000005,4142.203,0.1,0.1,closed,5min,2026-07-03T01:26:06.208319
4329,893401,XAUUSDc,BUY,4180.902,4164.29,0.1,0.1,closed,5min,2026-07-03T01:26:04.739215
4328,893257,XAUUSDc,BUY,4169.1320000000005,4142.203,0.1,0.1,closed,5min,2026-07-03T01:20:07.654077
4327,893147,XAUUSDc,BUY,4173.987,4161.895,0.1,0.1,closed,5min,2026-07-03T01:16:22.163749
4326,893112,XAUUSDc,BUY,4169.1320000000005,4142.203,0.1,0.1,closed,5min,2026-07-03T01:16:16.451287
4325,892974,XAUUSDc,BUY,4173.571,4117.473,0.1,0.1,closed,15min,2026-07-03T01:16:12.902910
4324,892814,XAUUSDc,BUY,4161.713,4147.079,0.1,0.1,closed,5min,2026-07-03T01:10:17.932001
4323,892779,XAUUSDc,BUY,4166.625,4115.848,0.1,0.1,closed,5min,2026-07-03T01:10:12.787353
4322,892778,XAUUSDc,BUY,4169.1320000000005,4142.203,0.1,0.1,closed,5min,2026-07-03T01:10:11.080375
4321,892667,XAUUSDc,BUY,4157.652,4151.062,0.1,0.1,closed,5min,2026-07-03T01:06:15.771412
4320,892642,XAUUSDc,BUY,4159.273,4131.203,0.1,0.1,closed,5min,2026-07-03T01:06:13.959258
4319,892336,XAUUSDc,BUY,4148.826,4052.278,0.1,0.1,active,15min,2026-07-03T01:00:29.080573
4318,892117,XAUUSDc,SELL,4150.447,4153.542,0.1,0.1,closed,5min,2026-07-03T00:58:11.878240
4317,886037,XAUUSDc,SELL,4183.974,4246.252,0.1,0.1,closed,4H,2026-07-03T00:58:08.250243
4316,887813,XAUUSDc,SELL,4162.436,4204.985,0.1,0.1,active,30min,2026-07-03T00:58:07.370865
4315,887644,XAUUSDc,SELL,4180.461,4271.286,0.1,0.1,closed,2H,2026-07-03T00:58:06.256159
